State,Year,Model,Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,Predicted_Yield_Baseline,Predicted_Yield_Stress,Yield_Change_MT_Ha,Yield_Change_pct
Plateau,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.262516705886705,2.3272552590002595,0.0647385531135547,2.8613513856103423
Rivers,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9099420239020226,1.8880361681836666,-0.021905855718356015,-1.1469382548901785
Sokoto,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.0728155444555436,2.0668661066711063,-0.00594943778443735,-0.28702205559733296
Taraba,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.532413990268988,2.5972677306027303,0.06485374033374214,2.5609454292603044
Yobe,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,1.9694176791726787,1.9504142099567097,-0.01900346921596907,-0.9649283347528457
Zamfara,2024,RandomForest,T+2_R-20,Compound,2.0,-20.0,2.009601931586932,2.0344145711695707,0.024812639582638685,1.2347042064716156
Abia,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.8857182803461676,1.7988892899707596,-0.08682899037540803,-4.604557917287016
Adamawa,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.7029347260592815,2.868426205728712,0.16549147966943067,6.122659125797959
Akwa Ibom,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.7518811138048203,1.7627951903819572,0.010914076577136944,0.6229918509386304
Anambra,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9608427375996522,1.8003471594829887,-0.16049557811666348,-8.185030601338926
Bauchi,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.288970852812262,2.591897289093691,0.302926436281429,13.234176219817273
Bayelsa,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9780597189458775,1.79359845143732,-0.1844612675085575,-9.325363928186064
Benue,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.6716814124765933,2.596421660263403,-0.07525975221319037,-2.8169433623983684
Borno,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.5538667935889894,2.5572272614078777,0.003360467818888324,0.13158351983447836
Cross River,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.7929998542711614,1.79359845143732,0.0005985971661586209,0.03338523228168055
Delta,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9705492690557629,1.8100536909390987,-0.16049557811666415,-8.144712778157004
Ebonyi,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.8361117699485616,1.7842757619139475,-0.05183600803461408,-2.823140120498561
Edo,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.0208195123023867,1.833598813556913,-0.18722069874547365,-9.264592785536147
Ekiti,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.12982541303054,1.7935264573110434,-0.3362989557194964,-15.789977603890772
Enugu,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9718888257207303,1.7849430795062786,-0.1869457462144517,-9.480541893436744
FCT,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.675089302187353,2.765199170009508,0.09010986782215502,3.368480736268298
Gombe,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.757550720508127,2.8948733397022104,0.13732261919408328,4.9798764596714
Imo,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9852379020439388,1.78225278948813,-0.20298511255580887,-10.224724822492142
Jigawa,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.1719872802994367,2.166172283870314,-0.005814996429122754,-0.2677270019887539
Kaduna,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.150619625529219,2.4917519365581664,0.3411323110289475,15.862047708459952
Kano,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.1392041565082125,2.1485518447173746,0.009347688209162097,0.4369703649239432
Katsina,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9519067976449578,2.187376810056938,0.23547001241198018,12.063588932426631
Kebbi,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.073716090789913,2.19129210266831,0.11757601187839706,5.669822035937928
Kogi,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.777658283495822,2.668321252560044,-0.10933703093577796,-3.936302445316341
Kwara,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.320563274323994,2.729258971542379,0.40869569721838506,17.611917836519353
Lagos,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.7457696534864193,1.8448181800467747,0.09904852656035534,5.673630903283763
Nasarawa,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.8528243385884564,2.5664628424782943,-0.28636149611016215,-10.037824349600523
Niger,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.7142918549452477,2.126868805295761,-0.5874230496494866,-21.641852867783665
Ogun,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.201893978512967,1.7985526316321652,-0.40334134688080203,-18.317927693920833
Ondo,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,2.12982541303054,1.7935264573110434,-0.3362989557194964,-15.789977603890772
Osun,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.6977145580657644,1.7516683090969738,0.05395375103120936,3.1780225229781736
Oyo,2024,LightGBM,T+2_R-20,Compound,2.0,-20.0,1.9520850306715005,1.767223295028358,-0.18486173564314257,-9.46996328226295
