Scenario,Scenario_Type,Temperature_Shift_C,Rainfall_Shift_pct,State,Year,Season_Group,Seasonal_Rainfall_mm,Seasonal_GDD_C,Max_CDD_days,Mean_Tmax_C,Mean_Tmin_C,Mean_RH_pct,Mean_Solar_Radiation_MJ_m2_day,Rainfall_Anomaly_Z_2000_2019,Weather_Valid_Days,Weather_Total_Days,Baseline_Max_CDD_days,Baseline_Seasonal_GDD_C,Baseline_Seasonal_Rainfall_mm,Baseline_Rainfall_Anomaly_Z,CDD_Change_days,GDD_Change_C,Rainfall_Change_mm,Rainfall_Anomaly_Change
T+2_R0,Heat,2.0,0.0,Anambra,2024,South,1347.01,5191.875,21,32.05850909090909,25.700581818181817,86.4098909090909,16.76098181818182,-0.6683966152075341,275,275,21,4641.875,1347.01,-0.6683966152075341,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Bauchi,2024,North,1085.11,3568.24,16,33.96880434782609,24.816413043478256,71.98304347826088,19.371358695652173,2.0242342283357715,184,184,16,3200.24,1085.11,2.0242342283357715,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Bayelsa,2024,South,1882.98,5270.065,21,31.968800000000005,26.358945454545456,88.53152727272726,14.644981818181815,-0.5543351476094643,275,275,21,4720.065,1882.98,-0.5543351476094643,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Benue,2024,Middle,963.15,4186.709999999999,8,33.120794392523365,26.00733644859812,81.08780373831776,17.053878504672895,-0.7241881075650654,214,214,8,3758.71,963.15,-0.7241881075650654,0,427.9999999999991,0.0,0.0
T+2_R0,Heat,2.0,0.0,Borno,2024,North,583.16,4095.105,29,37.42760869565217,27.08440217391305,58.93391304347826,19.25429347826087,0.4205674837447025,184,184,29,3727.105,583.16,0.4205674837447025,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Cross River,2024,South,1869.09,5244.005,18,31.75338181818181,26.384836363636364,87.72872727272728,14.285345454545457,-1.8894777114847496,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,0,549.9999999999991,0.0,0.0
T+2_R0,Heat,2.0,0.0,Delta,2024,South,1347.01,5191.875,21,32.05850909090909,25.700581818181817,86.4098909090909,16.385490909090908,-0.6683966152075341,275,275,21,4641.875,1347.01,-0.6683966152075341,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Ebonyi,2024,South,903.47,5499.355,32,33.96454545454545,26.03076363636364,78.39523636363637,17.160509090909088,-1.546026003363861,275,275,32,4949.355,903.47,-1.546026003363861,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Edo,2024,South,1355.78,5133.435,12,31.72083636363636,25.613236363636364,89.4073090909091,15.766727272727271,-0.6234406615451246,275,275,12,4583.435,1355.78,-0.6234406615451246,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Ekiti,2024,South,1356.8000000000002,4852.264999999999,20,31.067054545454543,24.22214545454545,86.85934545454545,16.821854545454546,-0.4765436240340352,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Enugu,2024,South,975.9,5272.129999999999,29,32.86967272727273,25.47309090909091,81.54152727272727,16.76098181818182,-1.4811767773960562,275,275,29,4722.129999999999,975.9,-1.4811767773960562,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,FCT,2024,Middle,1154.31,3997.07,11,32.60518691588785,24.75060747663552,80.45640186915888,17.145467289719626,-0.0856823432362582,214,214,11,3569.07,1154.31,-0.0856823432362582,0,428.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Gombe,2024,North,1433.4500000000005,3623.21,16,33.93304347826087,25.44967391304348,73.95494565217392,19.025163043478265,2.8998050239842983,184,184,16,3255.21,1433.4500000000005,2.8998050239842983,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Imo,2024,South,1603.58,5239.094999999999,21,32.224945454545455,25.87756363636364,87.54370909090908,15.994727272727271,-0.3836029634683416,275,275,21,4689.094999999999,1603.58,-0.3836029634683416,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Jigawa,2024,North,1018.26,3865.245,16,36.34570652173913,25.66782608695652,65.43054347826087,19.946739130434786,2.6316584935954377,184,184,16,3497.245,1018.26,2.6316584935954377,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Kaduna,2024,North,1456.84,3168.6800000000003,9,31.123260869565215,23.31891304347826,82.87179347826087,17.654891304347824,0.6432506088992294,184,184,9,2800.6800000000003,1456.84,0.6432506088992294,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Kano,2024,North,1001.38,3851.455,16,36.5625,25.301141304347823,65.6521195652174,20.282445652173912,2.4299972049098817,184,184,16,3483.455,1001.38,2.4299972049098817,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Katsina,2024,North,1290.86,3576.635,17,33.866684782608694,25.009782608695648,71.46581521739131,19.78010869565217,5.707961992605359,184,184,17,3208.635,1290.86,5.707961992605359,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Kebbi,2024,North,2129.96,3741.305,14,34.69858695652174,25.967771739130438,77.36255434782608,19.648369565217397,13.219542711920042,184,184,14,3373.3050000000003,2129.96,13.219542711920042,0,367.99999999999955,0.0,0.0
T+2_R0,Heat,2.0,0.0,Kogi,2024,Middle,876.2099999999998,4215.005,7,33.41172897196262,25.98084112149533,80.40649532710282,16.695794392523368,-0.7200297516520903,214,214,7,3787.005,876.2099999999998,-0.7200297516520903,0,428.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Kwara,2024,Middle,1215.39,3943.295,13,32.14434579439253,24.7088785046729,83.5259813084112,16.815327102803735,0.417083623382899,214,214,13,3515.295,1215.39,0.417083623382899,0,428.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Lagos,2024,South,1316.66,5289.834999999999,16,31.03090909090909,27.44061818181818,86.61469090909091,16.325090909090907,-0.4318672772924319,275,275,16,4739.834999999999,1316.66,-0.4318672772924319,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Nasarawa,2024,Middle,1023.58,4249.1050000000005,16,33.62345794392523,26.087803738317756,78.61088785046731,17.359859813084114,0.0556549880803927,214,214,16,3821.105,1023.58,0.0556549880803927,0,428.00000000000045,0.0,0.0
T+2_R0,Heat,2.0,0.0,Niger,2024,Middle,908.71,4320.51,8,34.02266355140187,26.355934579439253,77.47570093457945,17.4807476635514,-0.910216301881244,214,214,8,3892.51,908.71,-0.910216301881244,0,428.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Ogun,2024,South,1605.6,5132.57,15,31.62723636363637,25.70054545454545,89.01341818181818,16.325090909090907,0.0073989867254078,275,275,15,4582.57,1605.6,0.0073989867254078,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Ondo,2024,South,1356.8000000000002,4852.264999999999,20,31.067054545454543,24.22214545454545,86.85934545454545,16.821854545454546,-0.4765436240340352,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Osun,2024,South,1679.4299999999998,4960.16,20,31.38592727272728,24.687963636363637,88.06992727272726,15.928509090909092,0.1707275218903802,275,275,20,4410.16,1679.4299999999998,0.1707275218903802,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Oyo,2024,South,1632.55,5022.030000000001,19,31.67494545454546,24.848909090909093,87.58556363636363,15.93450909090909,0.1658194519402747,275,275,19,4472.030000000001,1632.55,0.1658194519402747,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Plateau,2024,Middle,1375.73,3493.7900000000004,9,30.977289719626164,21.67495327102804,77.79901869158877,16.974906542056075,1.5272735899390373,214,214,9,3065.7900000000004,1375.73,1.5272735899390373,0,428.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Rivers,2024,South,1770.85,5264.629999999999,21,32.30472727272727,25.98349090909091,88.48505454545455,14.248981818181818,-0.7322444356504656,275,275,21,4714.629999999999,1770.85,-0.7322444356504656,0,550.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Sokoto,2024,North,1363.51,3801.615,16,35.10266304347826,26.219239130434783,72.92222826086956,20.30445652173913,4.944994593631734,184,184,16,3433.615,1363.51,4.944994593631734,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Taraba,2024,North,1095.85,3595.08,12,33.396032608695656,25.68092391304348,77.71913043478261,16.88103260869565,1.2225505917593709,184,184,12,3227.08,1095.85,1.2225505917593709,0,368.0,0.0,0.0
T+2_R0,Heat,2.0,0.0,Yobe,2024,North,926.85,3823.595,31,35.55940217391304,26.001413043478266,66.63913043478261,20.06733695652174,2.0400254849642674,184,184,31,3455.5950000000003,926.85,2.0400254849642674,0,367.99999999999955,0.0,0.0
T+2_R0,Heat,2.0,0.0,Zamfara,2024,North,694.8700000000001,3628.635,17,34.69663043478261,24.745054347826088,70.14929347826086,19.637336956521736,-0.1021922336829729,184,184,17,3260.635,694.8700000000001,-0.1021922336829729,0,368.0,0.0,0.0
T+2_R-10,Compound,2.0,-10.0,Abia,2024,South,1220.895,5177.7,23,32.031090909090906,25.62490909090909,87.19501818181817,15.994727272727271,-1.1991116246272546,275,275,23,4627.7,1356.55,-0.9196010910323762,0,550.0,-135.65499999999997,-0.27951053359487843
T+2_R-10,Compound,2.0,-10.0,Adamawa,2024,North,813.816,3686.585,12,34.40342391304348,25.668152173913047,72.47163043478261,18.33570652173913,-0.2402513131293838,184,184,12,3318.585,904.24,0.5051163098175504,0,368.0,-90.42399999999998,-0.7453676229469341
T+2_R-10,Compound,2.0,-10.0,Akwa Ibom,2024,South,1682.181,5244.005,27,31.75338181818181,26.384836363636364,87.72872727272728,15.994727272727271,-2.2573682544559484,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,549.9999999999991,-186.90899999999988,-0.3678905429711987
T+2_R-10,Compound,2.0,-10.0,Anambra,2024,South,1212.309,5191.875,23,32.05850909090909,25.700581818181817,86.4098909090909,16.76098181818182,-0.9238653382853764,275,275,21,4641.875,1347.01,-0.6683966152075341,2,550.0,-134.70100000000002,-0.2554687230778423
T+2_R-10,Compound,2.0,-10.0,Bauchi,2024,North,976.5990000000002,3568.24,16,33.96880434782609,24.816413043478256,71.98304347826088,19.371358695652173,1.47146643344857,184,184,16,3200.24,1085.11,2.0242342283357715,0,368.0,-108.51099999999974,-0.5527677948872014
T+2_R-10,Compound,2.0,-10.0,Bayelsa,2024,South,1694.682,5270.065,21,31.968800000000005,26.358945454545456,88.53152727272726,14.644981818181815,-0.8464589029081977,275,275,21,4720.065,1882.98,-0.5543351476094643,0,550.0,-188.298,-0.29212375529873336
T+2_R-10,Compound,2.0,-10.0,Benue,2024,Middle,866.8350000000003,4186.709999999999,8,33.120794392523365,26.00733644859812,81.08780373831776,17.053878504672895,-1.020511277769386,214,214,8,3758.71,963.15,-0.7241881075650654,0,427.9999999999991,-96.31499999999971,-0.29632317020432075
T+2_R-10,Compound,2.0,-10.0,Borno,2024,North,524.844,4095.105,29,37.42760869565217,27.08440217391305,58.93391304347826,19.25429347826087,-0.0377047495610278,184,184,29,3727.105,583.16,0.4205674837447025,0,368.0,-58.31599999999992,-0.4582722333057303
T+2_R-10,Compound,2.0,-10.0,Cross River,2024,South,1682.181,5244.005,27,31.75338181818181,26.384836363636364,87.72872727272728,14.285345454545457,-2.2573682544559484,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,549.9999999999991,-186.90899999999988,-0.3678905429711987
T+2_R-10,Compound,2.0,-10.0,Delta,2024,South,1212.309,5191.875,23,32.05850909090909,25.700581818181817,86.4098909090909,16.385490909090908,-0.9238653382853764,275,275,21,4641.875,1347.01,-0.6683966152075341,2,550.0,-134.70100000000002,-0.2554687230778423
T+2_R-10,Compound,2.0,-10.0,Ebonyi,2024,South,813.123,5499.355,32,33.96454545454545,26.03076363636364,78.39523636363637,17.160509090909088,-1.7513178262715765,275,275,32,4949.355,903.47,-1.546026003363861,0,550.0,-90.34699999999998,-0.20529182290771542
T+2_R-10,Compound,2.0,-10.0,Edo,2024,South,1220.2020000000002,5133.435,12,31.72083636363636,25.613236363636364,89.4073090909091,15.766727272727271,-0.8671028749073372,275,275,12,4583.435,1355.78,-0.6234406615451246,0,550.0,-135.57799999999975,-0.2436622133622126
T+2_R-10,Compound,2.0,-10.0,Ekiti,2024,South,1221.12,4852.264999999999,20,31.067054545454543,24.22214545454545,86.85934545454545,16.821854545454546,-0.9489439959850696,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,550.0,-135.6800000000003,-0.4724003719510344
T+2_R-10,Compound,2.0,-10.0,Enugu,2024,South,878.3100000000001,5272.129999999999,29,32.86967272727273,25.47309090909091,81.54152727272727,16.76098181818182,-1.7387709024704905,275,275,29,4722.129999999999,975.9,-1.4811767773960562,0,550.0,-97.58999999999992,-0.25759412507443424
T+2_R-10,Compound,2.0,-10.0,FCT,2024,Middle,1038.879,3997.07,11,32.60518691588785,24.75060747663552,80.45640186915888,17.145467289719626,-0.4571178351939903,214,214,11,3569.07,1154.31,-0.0856823432362582,0,428.0,-115.43100000000004,-0.37143549195773207
T+2_R-10,Compound,2.0,-10.0,Gombe,2024,North,1290.105,3623.21,16,33.93304347826087,25.44967391304348,73.95494565217392,19.025163043478265,2.1742267422136625,184,184,16,3255.21,1433.4500000000005,2.8998050239842983,0,368.0,-143.34500000000048,-0.7255782817706358
T+2_R-10,Compound,2.0,-10.0,Imo,2024,South,1443.2220000000002,5239.094999999999,21,32.224945454545455,25.87756363636364,87.54370909090908,15.994727272727271,-0.6637440683239704,275,275,21,4689.094999999999,1603.58,-0.3836029634683416,0,550.0,-160.35799999999972,-0.28014110485562876
T+2_R-10,Compound,2.0,-10.0,Jigawa,2024,North,916.434,3865.245,16,36.34570652173913,25.66782608695652,65.43054347826087,19.946739130434786,2.049893869180307,184,184,16,3497.245,1018.26,2.6316584935954377,0,368.0,-101.82600000000002,-0.5817646244151309
T+2_R-10,Compound,2.0,-10.0,Kaduna,2024,North,1311.156,3168.6800000000003,9,31.123260869565215,23.31891304347826,82.87179347826087,17.654891304347824,0.2107444684376737,184,184,9,2800.6800000000003,1456.84,0.6432506088992294,0,368.0,-145.68399999999997,-0.43250614046155567
T+2_R-10,Compound,2.0,-10.0,Kano,2024,North,901.242,3851.455,16,36.5625,25.301141304347823,65.6521195652174,20.282445652173912,1.845185084231316,184,184,16,3483.455,1001.38,2.4299972049098817,0,368.0,-100.13800000000003,-0.5848121206785657
T+2_R-10,Compound,2.0,-10.0,Katsina,2024,North,1161.774,3576.635,17,33.866684782608694,25.009782608695648,71.46581521739131,19.78010869565217,4.581434927830171,184,184,17,3208.635,1290.86,5.707961992605359,0,368.0,-129.086,-1.1265270647751882
T+2_R-10,Compound,2.0,-10.0,Kebbi,2024,North,1916.964,3741.305,14,34.69858695652174,25.967771739130438,77.36255434782608,19.648369565217397,11.177817378052932,184,184,14,3373.3050000000003,2129.96,13.219542711920042,0,367.99999999999955,-212.9960000000001,-2.0417253338671095
T+2_R-10,Compound,2.0,-10.0,Kogi,2024,Middle,788.589,4215.005,7,33.41172897196262,25.98084112149533,80.40649532710282,16.695794392523368,-1.095012526200864,214,214,7,3787.005,876.2099999999998,-0.7200297516520903,0,428.0,-87.62099999999975,-0.3749827745487738
T+2_R-10,Compound,2.0,-10.0,Kwara,2024,Middle,1093.851,3943.295,13,32.14434579439253,24.7088785046729,83.5259813084112,16.815327102803735,-0.148141432254742,214,214,13,3515.295,1215.39,0.417083623382899,0,428.0,-121.53899999999999,-0.565225055637641
T+2_R-10,Compound,2.0,-10.0,Lagos,2024,South,1184.994,5289.834999999999,16,31.03090909090909,27.44061818181818,86.61469090909091,16.325090909090907,-0.9088014387440244,275,275,16,4739.834999999999,1316.66,-0.4318672772924319,0,550.0,-131.66600000000017,-0.4769341614515925
T+2_R-10,Compound,2.0,-10.0,Nasarawa,2024,Middle,921.222,4249.1050000000005,16,33.62345794392523,26.087803738317756,78.61088785046731,17.359859813084114,-0.2756563771778586,214,214,16,3821.105,1023.58,0.0556549880803927,0,428.00000000000045,-102.35800000000006,-0.33131136525825133
T+2_R-10,Compound,2.0,-10.0,Niger,2024,Middle,817.8390000000002,4320.51,8,34.02266355140187,26.355934579439253,77.47570093457945,17.4807476635514,-1.261609198459815,214,214,8,3892.51,908.71,-0.910216301881244,0,428.0,-90.87099999999987,-0.351392896578571
T+2_R-10,Compound,2.0,-10.0,Ogun,2024,South,1445.04,5132.57,16,31.62723636363637,25.70054545454545,89.01341818181818,16.325090909090907,-0.5264052409229788,275,275,15,4582.57,1605.6,0.0073989867254078,1,550.0,-160.55999999999995,-0.5338042276483866
T+2_R-10,Compound,2.0,-10.0,Ondo,2024,South,1221.12,4852.264999999999,20,31.067054545454543,24.22214545454545,86.85934545454545,16.821854545454546,-0.9489439959850696,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,550.0,-135.6800000000003,-0.4724003719510344
T+2_R-10,Compound,2.0,-10.0,Osun,2024,South,1511.487,4960.16,20,31.38592727272728,24.687963636363637,88.06992727272726,15.928509090909092,-0.3678848726100542,275,275,20,4410.16,1679.4299999999998,0.1707275218903802,0,550.0,-167.94299999999976,-0.5386123945004344
T+2_R-10,Compound,2.0,-10.0,Oyo,2024,South,1469.295,5022.030000000001,19,31.67494545454546,24.848909090909093,87.58556363636363,15.93450909090909,-0.4399009147139256,275,275,19,4472.030000000001,1632.55,0.1658194519402747,0,550.0,-163.25499999999988,-0.6057203666542004
T+2_R-10,Compound,2.0,-10.0,Plateau,2024,Middle,1238.157,3493.7900000000004,9,30.977289719626164,21.67495327102804,77.79901869158877,16.974906542056075,1.0584617768271258,214,214,9,3065.7900000000004,1375.73,1.5272735899390373,0,428.0,-137.5730000000001,-0.46881181311191145
T+2_R-10,Compound,2.0,-10.0,Rivers,2024,South,1593.765,5264.629999999999,21,32.30472727272727,25.98349090909091,88.48505454545455,14.248981818181818,-1.0312177405024023,275,275,21,4714.629999999999,1770.85,-0.7322444356504656,0,550.0,-177.0849999999998,-0.29897330485193674
T+2_R-10,Compound,2.0,-10.0,Sokoto,2024,North,1227.159,3801.615,16,35.10266304347826,26.219239130434783,72.92222826086956,20.30445652173913,3.98292084184097,184,184,16,3433.615,1363.51,4.944994593631734,0,368.0,-136.35099999999989,-0.9620737517907645
T+2_R-10,Compound,2.0,-10.0,Taraba,2024,North,986.265,3595.08,13,33.396032608695656,25.68092391304348,77.71913043478261,16.88103260869565,0.5995816599557916,184,184,12,3227.08,1095.85,1.2225505917593709,1,368.0,-109.58499999999992,-0.6229689318035793
T+2_R-10,Compound,2.0,-10.0,Yobe,2024,North,834.165,3823.595,31,35.55940217391304,26.001413043478266,66.63913043478261,20.06733695652174,1.336061636040755,184,184,31,3455.5950000000003,926.85,2.0400254849642674,0,367.99999999999955,-92.68500000000006,-0.7039638489235125
T+2_R-10,Compound,2.0,-10.0,Zamfara,2024,North,625.383,3628.635,17,34.69663043478261,24.745054347826088,70.14929347826086,19.637336956521736,-0.5424980307332798,184,184,17,3260.635,694.8700000000001,-0.1021922336829729,0,368.0,-69.48700000000008,-0.4403057970503069
T+2_R-20,Compound,2.0,-20.0,Abia,2024,South,1085.24,5177.7,23,32.031090909090906,25.62490909090909,87.19501818181817,15.994727272727271,-1.4786221582221328,275,275,23,4627.7,1356.55,-0.9196010910323762,0,550.0,-271.30999999999995,-0.5590210671897566
T+2_R-20,Compound,2.0,-20.0,Adamawa,2024,North,723.392,3686.585,12,34.40342391304348,25.668152173913047,72.47163043478261,18.33570652173913,-0.985618936076318,184,184,12,3318.585,904.24,0.5051163098175504,0,368.0,-180.84799999999996,-1.4907352458938683
T+2_R-20,Compound,2.0,-20.0,Akwa Ibom,2024,South,1495.272,5244.005,27,31.75338181818181,26.384836363636364,87.72872727272728,15.994727272727271,-2.625258797427147,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,549.9999999999991,-373.818,-0.7357810859423974
T+2_R-20,Compound,2.0,-20.0,Anambra,2024,South,1077.6080000000002,5191.875,23,32.05850909090909,25.700581818181817,86.4098909090909,16.76098181818182,-1.179334061363218,275,275,21,4641.875,1347.01,-0.6683966152075341,2,550.0,-269.4019999999998,-0.5109374461556838
T+2_R-20,Compound,2.0,-20.0,Bauchi,2024,North,868.0880000000001,3568.24,16,33.96880434782609,24.816413043478256,71.98304347826088,19.371358695652173,0.9186986385613676,184,184,16,3200.24,1085.11,2.0242342283357715,0,368.0,-217.02199999999982,-1.105535589774404
T+2_R-20,Compound,2.0,-20.0,Bayelsa,2024,South,1506.384,5270.065,21,31.968800000000005,26.358945454545456,88.53152727272726,14.644981818181815,-1.1385826582069312,275,275,21,4720.065,1882.98,-0.5543351476094643,0,550.0,-376.596,-0.5842475105974668
T+2_R-20,Compound,2.0,-20.0,Benue,2024,Middle,770.52,4186.709999999999,8,33.120794392523365,26.00733644859812,81.08780373831776,17.053878504672895,-1.316834447973708,214,214,8,3758.71,963.15,-0.7241881075650654,0,427.9999999999991,-192.63,-0.5926463404086426
T+2_R-20,Compound,2.0,-20.0,Borno,2024,North,466.528,4095.105,29,37.42760869565217,27.08440217391305,58.93391304347826,19.25429347826087,-0.495976982866759,184,184,29,3727.105,583.16,0.4205674837447025,0,368.0,-116.63199999999995,-0.9165444666114615
T+2_R-20,Compound,2.0,-20.0,Cross River,2024,South,1495.272,5244.005,27,31.75338181818181,26.384836363636364,87.72872727272728,14.285345454545457,-2.625258797427147,275,275,18,4694.005000000001,1869.09,-1.8894777114847496,9,549.9999999999991,-373.818,-0.7357810859423974
T+2_R-20,Compound,2.0,-20.0,Delta,2024,South,1077.6080000000002,5191.875,23,32.05850909090909,25.700581818181817,86.4098909090909,16.385490909090908,-1.179334061363218,275,275,21,4641.875,1347.01,-0.6683966152075341,2,550.0,-269.4019999999998,-0.5109374461556838
T+2_R-20,Compound,2.0,-20.0,Ebonyi,2024,South,722.7760000000001,5499.355,32,33.96454545454545,26.03076363636364,78.39523636363637,17.160509090909088,-1.956609649179292,275,275,32,4949.355,903.47,-1.546026003363861,0,550.0,-180.69399999999996,-0.41058364581543083
T+2_R-20,Compound,2.0,-20.0,Edo,2024,South,1084.6240000000005,5133.435,12,31.72083636363636,25.613236363636364,89.4073090909091,15.766727272727271,-1.11076508826955,275,275,12,4583.435,1355.78,-0.6234406615451246,0,550.0,-271.1559999999995,-0.48732442672442533
T+2_R-20,Compound,2.0,-20.0,Ekiti,2024,South,1085.44,4852.264999999999,20,31.067054545454543,24.22214545454545,86.85934545454545,16.821854545454546,-1.4213443679361026,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,550.0,-271.3600000000001,-0.9448007439020674
T+2_R-20,Compound,2.0,-20.0,Enugu,2024,South,780.72,5272.129999999999,29,32.86967272727273,25.47309090909091,81.54152727272727,16.76098181818182,-1.9963650275449247,275,275,29,4722.129999999999,975.9,-1.4811767773960562,0,550.0,-195.17999999999995,-0.5151882501488685
T+2_R-20,Compound,2.0,-20.0,FCT,2024,Middle,923.448,3997.07,11,32.60518691588785,24.75060747663552,80.45640186915888,17.145467289719626,-0.828553327151722,214,214,11,3569.07,1154.31,-0.0856823432362582,0,428.0,-230.86199999999997,-0.7428709839154638
T+2_R-20,Compound,2.0,-20.0,Gombe,2024,North,1146.7600000000002,3623.21,28,33.93304347826087,25.44967391304348,73.95494565217392,19.025163043478265,1.4486484604430292,184,184,16,3255.21,1433.4500000000005,2.8998050239842983,12,368.0,-286.6900000000003,-1.451156563541269
T+2_R-20,Compound,2.0,-20.0,Imo,2024,South,1282.864,5239.094999999999,21,32.224945454545455,25.87756363636364,87.54370909090908,15.994727272727271,-0.9438851731795996,275,275,21,4689.094999999999,1603.58,-0.3836029634683416,0,550.0,-320.7159999999999,-0.5602822097112581
T+2_R-20,Compound,2.0,-20.0,Jigawa,2024,North,814.6080000000001,3865.245,16,36.34570652173913,25.66782608695652,65.43054347826087,19.946739130434786,1.468129244765175,184,184,16,3497.245,1018.26,2.6316584935954377,0,368.0,-203.65199999999993,-1.1635292488302627
T+2_R-20,Compound,2.0,-20.0,Kaduna,2024,North,1165.4720000000002,3168.6800000000003,9,31.123260869565215,23.31891304347826,82.87179347826087,17.654891304347824,-0.2217616720238804,184,184,9,2800.6800000000003,1456.84,0.6432506088992294,0,368.0,-291.3679999999997,-0.8650122809231098
T+2_R-20,Compound,2.0,-20.0,Kano,2024,North,801.104,3851.455,16,36.5625,25.301141304347823,65.6521195652174,20.282445652173912,1.260372963552748,184,184,16,3483.455,1001.38,2.4299972049098817,0,368.0,-200.27599999999995,-1.1696242413571336
T+2_R-20,Compound,2.0,-20.0,Katsina,2024,North,1032.688,3576.635,17,33.866684782608694,25.009782608695648,71.46581521739131,19.78010869565217,3.4549078630549865,184,184,17,3208.635,1290.86,5.707961992605359,0,368.0,-258.1719999999998,-2.2530541295503723
T+2_R-20,Compound,2.0,-20.0,Kebbi,2024,North,1703.9680000000003,3741.305,14,34.69858695652174,25.967771739130438,77.36255434782608,19.648369565217397,9.136092044185826,184,184,14,3373.3050000000003,2129.96,13.219542711920042,0,367.99999999999955,-425.99199999999973,-4.0834506677342155
T+2_R-20,Compound,2.0,-20.0,Kogi,2024,Middle,700.9680000000001,4215.005,7,33.41172897196262,25.98084112149533,80.40649532710282,16.695794392523368,-1.4699953007496385,214,214,7,3787.005,876.2099999999998,-0.7200297516520903,0,428.0,-175.24199999999973,-0.7499655490975482
T+2_R-20,Compound,2.0,-20.0,Kwara,2024,Middle,972.312,3943.295,13,32.14434579439253,24.7088785046729,83.5259813084112,16.815327102803735,-0.7133664878923842,214,214,13,3515.295,1215.39,0.417083623382899,0,428.0,-243.0780000000001,-1.1304501112752832
T+2_R-20,Compound,2.0,-20.0,Lagos,2024,South,1053.328,5289.834999999999,16,31.03090909090909,27.44061818181818,86.61469090909091,16.325090909090907,-1.385735600195618,275,275,16,4739.834999999999,1316.66,-0.4318672772924319,0,550.0,-263.3320000000001,-0.9538683229031861
T+2_R-20,Compound,2.0,-20.0,Nasarawa,2024,Middle,818.864,4249.1050000000005,16,33.62345794392523,26.087803738317756,78.61088785046731,17.359859813084114,-0.6069677424361107,214,214,16,3821.105,1023.58,0.0556549880803927,0,428.00000000000045,-204.716,-0.6626227305165034
T+2_R-20,Compound,2.0,-20.0,Niger,2024,Middle,726.9680000000001,4320.51,8,34.02266355140187,26.355934579439253,77.47570093457945,17.4807476635514,-1.613002095038387,214,214,8,3892.51,908.71,-0.910216301881244,0,428.0,-181.74199999999996,-0.702785793157143
T+2_R-20,Compound,2.0,-20.0,Ogun,2024,South,1284.48,5132.57,16,31.62723636363637,25.70054545454545,89.01341818181818,16.325090909090907,-1.0602094685713654,275,275,15,4582.57,1605.6,0.0073989867254078,1,550.0,-321.1199999999999,-1.0676084552967733
T+2_R-20,Compound,2.0,-20.0,Ondo,2024,South,1085.44,4852.264999999999,20,31.067054545454543,24.22214545454545,86.85934545454545,16.821854545454546,-1.4213443679361026,275,275,20,4302.264999999999,1356.8000000000002,-0.4765436240340352,0,550.0,-271.3600000000001,-0.9448007439020674
T+2_R-20,Compound,2.0,-20.0,Osun,2024,South,1343.5440000000003,4960.16,20,31.38592727272728,24.687963636363637,88.06992727272726,15.928509090909092,-0.9064972671104886,275,275,20,4410.16,1679.4299999999998,0.1707275218903802,0,550.0,-335.8859999999995,-1.0772247890008688
T+2_R-20,Compound,2.0,-20.0,Oyo,2024,South,1306.04,5022.030000000001,19,31.67494545454546,24.848909090909093,87.58556363636363,15.93450909090909,-1.045621281368127,275,275,19,4472.030000000001,1632.55,0.1658194519402747,0,550.0,-326.51,-1.2114407333084016
